Gen Index, Gen Bus,1, 2, 3, 4, 5, 6, 7, 8, 9, 10
239, 1079, 0.0,0.0,0.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0 
240, 1080, 0.0,0.0,0.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0 
241, 1081, 0.0,0.0,0.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0 
242, 1082, 0.0,0.0,0.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0 
243, 1083, 0.0,0.0,0.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0 
244, 1084, 0.0,0.0,0.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0 
245, 1085, 0.0,0.0,0.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0 
246, 1086, 0.0,0.0,-0.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0 
247, 1087, 0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0 
248, 1088, 0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0 
249, 1089, 0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0 
250, 1090, 0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0 
251, 1091, 0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0 
252, 1092, 0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0 
253, 1093, 0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0 
254, 1094, 0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0 
255, 1095, 0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0 
256, 1096, 0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0 
